	Acetophenone	1-Butanol, 3-methyl-	Butanoic acid, 2-methyl-	n-Hexadecanoic acid	Benzeneacetic acid	Pentanoic acid	1-Undecanol	1-Tridecene	2-Pyrrolidinone, 1-methyl-	Propane, 2-methoxy-2-methyl-	Phenylethyl Alcohol	Dodecanoic acid	Tridecanoic acid	Benzaldehyde, 2-hydroxy-	Benzofuran, 2,3-dihydro-	Hexadecanoic acid, ethyl ester	Octadecane	Benzene, 1-methyl-3-(1-methylethyl)-	Phenol, 2-methoxy-	1-Hexanol, 2-ethyl-	Hydrazine, 1,2-dimethyl-	Heptadecane	Menthol	Nonanoic acid	Heptanoic acid	Dodecanoic acid, methyl ester	Butanoic acid, 3-methyl-, butyl ester	Propanoic acid	Propanoic acid, 2-methyl-	Phenol, m-tert-butyl-	Dimethyl sulfone	Cyclopentane	Phenol, 2,4-bis(1,1-dimethylethyl)-	Acetic acid	n-Decanoic acid	1-Dodecanol	Phenol, 3-methyl-5-(1-methylethyl)-, methylcarbamate	Dimethyl Sulfoxide	2(3H)-Furanone, 5-hexyldihydro-	Phenol, 4-methyl-	Benzenepropanoic acid	Pentadecane	Pentadecane, 2,6,10,14-tetramethyl-	Tetradecanoic acid, ethyl ester	Ethanone, 1-(3-aminophenyl)-	2-Furanmethanol	Butanoic acid	Acetamide	Benzaldehyde	Formamide, N,N-dimethyl-	Octanoic Acid	Octadecanoic acid	1-Tetradecanol	Toluene	Phenol	Hexanoic acid	Furfural	Tetradecanoic acid	Propofol	Benzyl Alcohol	Benzoic Acid	Indole	Phenol, 4-chloro-3-methyl-	1-Hexadecanol	Hydrazine, methyl-	Tridecane	1H-Indole, 3-methyl-	Cyclohexanone	Acetic anhydride	Formic acid	Vanillin	Undecane	1-Propanone, 1-phenyl-	1H-Indene, 2,3-dihydro-5-methyl-	2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (S)-	Phenol, 2-ethyl-	Hexadecane	Phenol, 4-ethyl-	Butanoic acid, 3-methyl-	2-Propenoic acid, 2-methyl-	Tetradecane
103	0	0.000788	0.034562	0.004109	0.000679	0.126426	0	0.003926	0	0	0	0.001485	0	0	0	0	0	0	0	0	0	0	0	0.000884	0.00116	0	0	0.193563	0.032154	4.60E-05	0	0	1.78E-05	0.203579	0.000179	0.000172	0	0	0	0.012154	0.001426	0	0	0	0	0	0.313445	5.34E-05	0.000568	5.61E-05	0.000113	0	0	0	8.77E-05	0.013418	0.000146	0.001108	0	0	0.000106	0.003155	0	0.003232	0	0	0	0	0	0.000437	0	0	0	0	0	0	0.000636	0	0.046127	0	0
104	0	0	0.037923	0.047885	0.004609	0.054591	0.000277	0.001878	0	0	8.67E-05	0.180979	0	0	0	0	0	0	0	0	0	0	0	0	7.32E-05	0	0	0.040731	0.041767	0	0	0	0	0.201658	0.015603	0	0	0	0	0.021514	0.001592	0	0	0	0	0	0.227124	0	0	0	0.004784	0.002609	0	0	0	0.001596	0	0.03685	0	0	5.72E-05	0.001216	0	0.007993	0	0	0.005626	0	0	0.000557	0	0	0	0	0	0	0.00129	0	0.059133	0	0
106	0	0	0.071388	0.003005	0.000772	0.142904	0.000428	0.001244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003223	0	0	0.093931	0.063978	0	0	0	2.05E-05	0.112637	0.000234	0	0	0	0	0.041739	2.01E-05	0	0	0	0	0	0.324693	0	0.001154	0	0.000119	0	0	0	0.002714	0.024632	0	0	0	5.52E-05	7.58E-05	0.011237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099796	0	0
107	0	0	0.114871	0.009795	0.001719	0.104705	0	0.003025	0	0	0	0.016656	0	0	0	0	0	0	0	0	0	0	0	0.003518	0.000564	0	0	0.081896	0.082943	0	0	0	0.000578	0.126871	0.000851	0	0	0	0	0.037635	0.000354	0	0	0	0	0	0.2349	0	0.001143	0	0.000975	0	0	0	0	0.005449	0.000426	0.004058	0	0	0	0.001644	0	0.004844	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0.15986	0	0
108	0	0	0	0.08668	0.002779	0.005292	0	0	0	0	0.000492	0.010809	0	0	0	0	0	0	0	0.002524	0	0	0	0.025677	0.004485	0	0	0.085499	0.001874	0	0	0	0.00158	0.63958	0.005003	0	0	0	0	0.001188	0.000859	0	0	0	0	0	0.012499	0	0	0	0.003337	0	0	0	0.0007	0.013527	0.001041	0.018336	0	0	0	0.061957	0	0.005949	0	0.003147	0	0	0	0.003706	0	0.001479	0	0	0	0	0	0	0	0	0
109	0	0	0.028406	0.006675	3.68E-05	0.061798	0	0	0	0	3.69E-05	0.000913	0	0	0	0	0	0	0	0	0	0	0	0	0.000116	0	0	0.151163	0.029565	0	0	0	8.25E-05	0.256272	0.000184	0.001129	0	0	0	0.002508	0.00064	0	0	0	3.37E-05	0	0.413906	0	0.000419	0	0.001139	0	0	0	0.000153	0.002425	4.03E-05	0.000477	0	4.95E-05	0	0.000193	0	0.000458	0	0	9.25E-05	0	3.18E-05	0.000241	0	0	0	0	0	0	0	0	0.040816	0	0
110	0	0	0.061153	0.272984	0.004096	0.002137	0.001879	0	0	0	0	0.051426	0.001407	0	0	0.004057	0	0	0	0	0	0	0	0.002219	0	0	0	0.064121	0.036917	0	0	0	0.000574	0.112881	0.023233	0.000333	0	0	0	0	0	0	0	0.003888	0	0	0.078777	0	0.003421	0	0.006182	0	0	0	0	0.009373	0.001059	0.10372	0	0	0.000264	0.003384	0	0	0	0	0	0	0	0.003977	0	0	0	0.000376	0	0	0	0	0.146162	0	0
111	0	0	0.06241	0.031608	0.014051	0.111778	0	0.014089	0	0	0.000235	0	0	0	0	0	0	0	0	0	0	0	0	0.00034	0.000165	0	0	0.083023	0.068704	0	0	0	0	0.100706	0.000251	0	0	0	0	0.059735	0.016373	0	0	0	0	0	0.241527	0.000157	0.000955	0	0	0.000415	0	0	0	0.003232	0.000735	0.003648	0	0	0	0.016535	6.40E-05	0.031411	0	0	0.000341	0	0	0.000843	0	0	0	0	0	0	0	0	0.136669	0	0
112	0.000183	0	0.057641	0.099172	0.005111	0.084238	0	0	0.00019	0	0.000122	0.002685	0	0	0	0	0	0	0	0	0	0	0	0.002485	0.030213	0	0	0.040897	0.052787	0	0	0	0.000213	0.161733	0.00049	0	0	0	0	0.04531	0.004008	0	0	0	0	0	0.174792	0	0.004508	0	0.00607	0.003345	0	0.000278	0	0.101465	0	0.011875	0	0	0.000196	0.003504	0	0.0014	0	0	0	0	0	0.000373	0	0	0	0	0	0	0.001191	0	0.103526	0	0
113	0	0	0.042933	0.010322	0.000213	0.016017	0	0	0	0	0.000294	0.001403	0	0	0	0	0	0	0	0	0	0	0	0.000277	0	0	0	0.183818	0.025042	0	0	0	0.000172	0.249319	0	0	0	0	0	0.000362	0.000199	0	0	0	0	0	0.411985	0	0.000259	0	0	0	0	0	0.001798	0.001852	0.000107	0.000562	0.000194	0	0.000113	0.002344	0	0	0	0	0	0	0	0.000272	0	0	0	0	0	0	0	0	0.050143	0	0
114	0	0	0.023477	0.005334	0.000499	0.112318	0.000229	0.005787	0	0	3.16E-05	0.001905	0	0	0	0	0	0	0	0	0	0	0	0	0.007199	0	0	0.165775	0.024307	9.21E-05	0	0	0	0.28014	0	0.000319	0	0	0	0.003837	0.001078	0	0	0	1.74E-05	0	0.275161	7.93E-05	1.74E-05	4.82E-05	0.000331	0	0	0	0	0.050009	0.001008	0.000882	0	0	0	0.002019	0	0.005118	0	0	0.000105	0	0	0.000699	0	0	0	0	0	0	0	0	0.032178	0	0
115	0	0	0.035866	0.060268	0.003121	0.061923	0.000399	0.002543	0	0	6.30E-05	0.017726	0	0	0	0	0	0	0	0	0	0	0	0.000108	0	0	0	0.077166	0.040951	0	0	0	0	0.337414	0.000388	0	0	0	0.001801	0.029578	0.000898	0	0	0	0	0	0.256468	0	0.000698	5.77E-05	9.69E-05	0.001631	0	0	3.72E-05	0.00196	0.00019	0.008509	0.001051	0	7.16E-05	0.004115	0	0.001993	0	0	0	0	0	0.000745	0	0	0	0	0	0	0	0	0.052165	0	0
116	0	0	0.022305	0.006215	0.000655	0.06301	0	0.001212	0	0	8.17E-05	0.000762	0	0	0	0	0	0	0	0	0	0	0.000932	0.00019	0.004476	0	0	0.207358	0.023846	0	0	0	1.69E-05	0.284008	0	0	0	0	0	0.015464	0.000354	0	0	0	0	0	0.302004	0	0.000742	0.000303	0.000309	0	0	0	0	0.025527	0	0.001135	0	0	9.39E-05	0.000679	0	0.001553	0	3.18E-05	0	0	0	0.000527	0	0	0	0	0	0	0.000148	0	0.036063	0	0
117	0	0	0.090716	0.109642	0.022337	0.089531	0.001448	0.005888	0	0	0.000206	0.01178	0	0	0	0	0	0	0	0	0	0	0	0.000238	0	0	0	0.108646	0.081622	0	0	0	0	0.080566	0.003637	0.001911	0	0	0	0.067912	0.000779	0	0	0	0	0	0.133454	8.00E-05	0.000235	0	0.000544	0.001873	0	0	0	0.004539	0	0.03115	0	0	0.000138	0.006011	0.000748	0.015936	0	0	0.00304	0	0	0	0	0	0	0	0	0	0	0	0.125396	0	0
118	0	0	0	0.038293	0	0.001184	0	0	0	0	0	0.267576	0	0	0	0	0	0	0	0	0	0	0	0.01093	0.001609	0	0	0.025371	0	0	0	0	0	0.46663	0.00205	0	0	0	0	0	0.000714	0	0	0	0	0	0.002287	0.001289	0	0	0.002669	0	0	0	0	0.004495	0	0.050829	0	0	0	0.003592	0	0.1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001881	0	0
119	0	0	0	0.057032	0.000299	0.003961	0	0	0	0	0.000853	0.010594	0	0	0	0	0	0	0	0	0	0	0	0.001045	0	0	0	0.043176	0.009354	0	0	0	0.000159	0.278904	0.0007	0	0	0	0	0.001409	0	0	0	0	0	0	0.574264	0.00022	0.000406	0	0.000478	0	0	0	0	0.001179	0	0.009582	0	0	0	0	0	0	0	0	0	0	0	0.000359	0	0	0	0	0	0	0.004881	0	0.001146	0	0
120	0	0	0.048317	0.004113	0.000616	0.071425	0.000226	0.002414	0.000187	0	0	0.002189	0	0	0	0	0	0	0	0	0	0	0	0	0.000243	0	0	0.140951	0.045646	0	0	0	4.62E-06	0.331887	0.00017	0.000356	0	0	0	0.00671	9.46E-05	0	0	0	2.12E-05	0	0.272043	0	0	0	0.000416	0	0	0	8.23E-06	0.004758	0	0.000949	0	0	7.39E-06	0.000571	0	0.002814	0	0	6.77E-05	0	0	0.000272	5.29E-05	0	0	0	0	0	0	0	0.062472	0	0
124	0	0	0.087454	0.049602	0.002281	0.132227	0	0.004561	0	0	0	0.00464	0	0	0	0	0	0	0	0	0	0	0	0.000492	0.00453	0	0	0.039171	0.090231	0	0	0	0.000366	0.083149	0.00118	7.03E-05	0	0	0	0.164955	0	0	0	0	3.43E-05	0	0.086059	4.72E-05	0.001294	0	0.000101	0	0	0	0	0.008312	0	0.008069	0	0	0	0.006823	0	0.021621	0	0	0.013799	0	0	0.000322	0	0	0	0	0	0	0	0	0.188609	0	0
125	0	0.000508	0.04307	0.00536	0.000685	0.106523	0	0	0	0	0.000336	0.000887	0	0	0	0	0	0	0	0	0	0	0	0.000186	0.002379	0	0.003794	0.083942	0.034311	0	0	0	1.81E-05	0.114735	0.000304	0.00031	0	0	0	0.022253	0.000455	0	0	0	0	0	0.429262	0	0.001279	0	0.000306	0	0	0	0.003766	0.034305	0.000121	0.001217	0.001449	0	8.87E-05	0.02688	0	0.000531	0	0	0.000229	0	0	0.000271	0	0	0	0	0	0	0	0	0.080239	0	0
126	0	0	0.038293	0.049181	0.002837	0.092814	0	0	0.001274	0	0	0.010371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087409	0.014666	0	0	0	0.000198	0.194176	0.002954	0	0	0	0	0.023775	0.000423	0	0	0	0	0	0.395739	0.000666	0	0	0.000208	0	0	0	0	0.004168	0	0.021911	0	0	0	0.003969	0	0.000984	0.000946	0	0	0	0	0	0	0	0	0	0	0	0.00522	0	0.047818	0	0
127	0	0	0.05698	0.011234	0.000402	0.089716	0	0.001008	0	0	0.000124	0.006064	0	0	0	0	0	0	0	0	0	0	0	0.000119	0.000103	0	0	0.130809	0.063829	0	0	0	8.31E-05	0.139942	0.001182	0	0	0	0	0.013916	0	0	0	0	0	0	0.375549	0	0.00072	0	0.00039	0	0	0	0	0.002598	0.000137	0.004013	0	0	8.07E-05	0.001054	0	0.001137	0	0	0	0	0	0.000226	0	0	0	0	0	0	0	0	0.098585	0	0
128	0	0	0	0.052803	0.000571	0.015014	0.003552	0	0	0	0.005171	0.014964	0	0	0	0	0	0	0.00094	0.001555	0	0.007366	0	0.019566	0	0	0	0.037272	0	0	0	0	0.002876	0.642192	0.026621	0	0	0	0	0.000913	0	0	0	0	0	0	0.074705	0.000874	0.008622	0	0.002926	0	0	0	0.004684	0.01162	0.004735	0.030739	0	0.003649	0	0.001579	0	0	0	0.003466	0	0	0	0.004161	0	0	0	0	0	0.015267	0.001598	0	0	0	0
130	0	0	0.034862	0.020904	0.00282	0.015408	0	0	0	0	9.90E-05	0.001683	0	0	0	0	0	0	0	0	0	0	0	0.002182	0	0	0	0.138952	0.085288	0	0	0	0.000587	0.224196	0	0	0	0	0	0.045664	0	0	0	0	0	0	0.287449	0	0	0	0.000232	0	0	0	0.00048	0.001209	0	0.002192	0	0.000139	9.03E-05	0.001892	0	0.002308	0	0	0.001454	0	0	0.000468	0	0	0	0	0	0	0	0	0.129444	0	0
131	0	0	0.077409	0.034975	0.004553	0.100004	9.40E-05	0.000998	0	0	0	0.005442	0.000126	0	0	0	0	0	0	0	0	0	0	0	0.003631	0	0	0.107786	0.066244	0	7.10E-05	0	0	0.212324	0.002385	0	0	0	0	0.057428	0.00032	0	0	0	0	0.001244	0.188474	0	1.08E-05	0	0.000349	0.001607	0	0	0	0.014107	0.000254	0.014876	0	0	0	0.004939	0	0.000389	0	0	0.000131	0	0	0	0	0	0	0	0	0	0.000957	0	0.098873	0	0
132	0	0	0.061838	0.006315	0.004013	0.007306	0	0.008188	0.00148	0	0.000325	0.004343	0	0	0	0	0	0	0	0	0	0	0	0.001189	0	0	0	0.101194	0.061314	0	0	0	0	0.170054	0.000783	0.001452	0	0	0	0.065984	0	0	0	0	0	0	0.315984	0	0.005164	0	0.000306	0	0	0	0.015522	0.00161	0	0.005673	0.000153	3.38E-05	0	0.044219	0	0.015389	0	0	0	0	0	0	0	0	0	0	0	0	0.001757	0	0.09841	0	0
133	0	0.000325	0.046356	0.018482	0.002247	0.080549	0	0	0	0	0.00034	0.193153	0	0	0	0	0	0	0	0	0	0	0	0.000663	6.89E-05	0.00037	0	0.090518	0.044271	0	0	0	0.000135	0.230615	0.001875	0	0	0	0	0.008182	0.000642	0.000134	0	0	0	0	0.156935	0.000547	0.00138	0	0.001056	0	0	0	0.000771	0.001601	0.000111	0.032961	0.001724	0	7.86E-05	0.004468	0	0	0	0	0	0	0	0.000403	0	0	0	0	0	0	0	0	0.07904	0	0
134	0	0	0.07959	0.059395	0.002118	0.081897	0	0.002517	0	0	0	0.00193	0	0	0	0	0	0	0	0	0	0	0	0.00161	0.008284	0	0	0.117288	0.061501	0	0	0	0.000122	0.185817	0	0.001303	0	0	0	0.075753	0.001992	0	0	0	0	0	0.157147	0	0.003317	0	0.000119	0	0	0	0	0.036816	0	0.005034	0	0	0	0.004478	0	0.005898	0	0	0.00149	0	0	0	0	0	0	0	0	0	0	0.000132	0.104455	0	0
135	0	0	0.041421	0.021431	0.003068	0.106147	0.000164	0.007509	0	0	0.000105	0.007347	0	0	0	0	0	0	0	0	0	0	0.000602	0.001375	0.034024	0	0	0.048327	0.040838	0	0	0	0.000116	0.122306	0.000949	0	0	0	0	0.046716	0.002276	0.000349	0	0	0	0	0.266052	0	0.003119	0	0.006223	0	0	0	0.001232	0.151274	5.67E-05	0.004114	0	0	0	0.006871	0	0.008787	0	0.000186	0	0	0	0	0	0	0	0	0	0	0	3.48E-05	0.066981	0	0
136	0	0	0.049778	0.074166	0.011803	0.075525	0.004713	0.003204	0	0	0	0.004766	0	0	0	0	0	0	0	0	0	0	0	0.001176	0.02253	0	0	0.078211	0.046052	0	0	0	0	0.278353	0	0	0	0	0	0.057667	0.008196	0	0	0	0	0	0.134152	0	0.001199	0	0.002993	0	0	0	0.000115	0.046982	0	0.004161	0	0	0	0.002858	0	0	0	0	0.014155	0	0	0.003925	0	0	0	0	0	0	0	0	0.07332	0	0
137	0	0	0.059535	0.006958	0.004131	0.096245	0	0.002683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006759	0	0	0.142788	0.067494	0	0	0	0	0.22055	3.80E-05	0	0	0	0	0.046909	0.001672	0	0	0	0	0	0.208851	0	0.000441	0	0.00012	0	0	0	0.000632	0.025624	0	0.000722	0	0	9.29E-05	0.015758	4.62E-05	0.00679	0	0	0.001903	0	0	0.000289	0	0	0	0	0	0	0	0	0.082969	0	0
138	0	0	0.046967	0.015117	0.010372	0.119217	0.000299	0.000131	0.002395	0	0.000114	0	0	0	0	0.000223	0	0	0	0	0	0	0	0	0.01111	0	0	0.09139	0.049682	0.000112	7.09E-05	0	0	0.198794	4.20E-05	0	0	0	0	0.044587	0.001165	0	0	0	0	0	0.229007	0	0.000229	0	0.000509	0.000663	0	0	0.000242	0.086777	0.000189	0.002475	0	4.02E-05	0.000134	0.012535	0	0.000616	0	0	0	0	0	0.000829	0	0	0	0	0	0	0	0	0.073965	0	0
140	0	0	0.047664	0.021274	0.003179	0.074812	0	0	0	0	0	0.002774	0	0	0	0	0	0	0	0	0	0	0	0.002441	0.000158	0	0	0.10234	0.058029	0	0	0	0.000681	0.390367	0	0	0	0	0	0.048176	0.004275	0	0	0	0	0	0.133345	0	0.001284	0	0.000146	0	0	0	0	0.002825	0	0.004586	0	0	0.000108	0.000638	0	0	0	0	0.003012	0	0	0.002156	0	0	0	0	0	0	0	0	0.095731	0	0
142	0	0	0.040341	0.03298	0.011692	0.057414	0.00195	0	0	0	0	0.042077	0	0	0	0	0	0	0	0	0	0	0	0.000801	0.00271	0	0	0.08077	0.034789	0	0	0	0	0.41791	0.004068	0	0	0	0	0.050874	0.001869	0	0	0	0	0	0.127746	0	0.000928	0	0.009578	0	0	0	0	0.007397	0	0.013082	0	0	0.000332	0.000606	0.000242	0.000548	0	0	0.000298	0	0	0.002077	0	0	0	0	0	0	0	0	0.056921	0	0
143	0	0	0.035816	0.04323	0.003929	0.060662	0	0.00286	0	0	0.000125	0.001532	0	7.81E-05	0	0	0	0	0	0	0	0	0	0	0.000139	0	0	0.166817	0.032896	0	0	0	0.000128	0.345996	0.000163	0.000583	0	0	0	0.022608	0.000448	0	0	0	0	0	0.205221	0	0.004246	0	0.00052	0.000517	0	0	0.002312	0.002486	0	0.009196	0	0	0.000178	0.006156	0	0.001549	0	0	0	0	0	0.001411	0	0	0	0	0	0	0	0	0.048196	0	0
144	0	0	0.063781	0.024338	0.008589	0.062197	0	0.002595	0	0	0.000301	0.021977	0	0	0	0	0	0	0	0	0	0	0	0.000352	0	0	0	0.065577	0.047531	0	0	0	0.000331	0.301529	0.004356	0	0	0	0	0.010493	0.01128	0	0	0	0.000125	0	0.244221	0	0.000787	0	0.001575	0	0	0	0	0.002202	0.000485	0.012708	0	0	0.000204	0.001986	0	0.008466	0	0	0.015729	0	0	0.002128	0	0	0	0	0	0	0	0	0.084159	0	0
145	0	0	0.030057	0.042332	0.003304	0.050498	0	0	0	0	0	0.032948	0	0	0	0	0	0	0	0	0	0	0	0.003769	0	0	0	0.110829	0.024397	0	0	0	0.000226	0.417424	0.006024	0	0	0	0	0.006475	0.011517	0	0	0	0.000124	0	0.175482	0	0.000569	0	0.00179	0	0	0	5.34E-05	0.001673	0	0.027071	0	0	0.000415	0.001074	0	0.002595	0	0	0.013577	0	0	0.00212	0	0	0	0	0	0	0	0	0.033658	0	0
147	0	0	0.044705	0.001436	0.001094	0.069069	0	0	0	0	6.57E-05	0.002418	0	0	0	0	0	0	0	0	0	0	0	0.000422	0.000346	0	0	0.112198	0.058934	0	0	0	0.00019	0.210139	0.000488	0	0	0	0	0.018968	0.000438	0	0	0	2.03E-05	0	0.374288	0	0	0	0.000453	0	0	0	0.004988	0.003817	0	0.001378	0	6.56E-05	7.73E-05	0.010683	0	0.001579	0	0	0	0	0	0.000529	0	0	0	0	0	0	0	0	0.081212	0	0
148	0	0	0.068263	0.041448	0.006405	0.088761	0.010813	0.016429	0	0	0.000449	0.003218	0	0	0	0	0	0	0	0	0	0	0	0.002187	0	0	0	0.139699	0.064248	0	0	0	0.000443	0.201878	0	0	0	0	0	0.054902	0.002554	0	0	0	0	0	0.191673	9.60E-05	0	0	0	0	0	0	0	0.002647	0	0	0.005119	0	0	0.006948	0	0.015007	0	0	0.002404	0	0	0	0	0	0	0	0	0	0	0	0.074407	0	0
149	0	0	0.05621	0	0.000699	0.126842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000762	0	0	0	0.120788	0.099187	0	0	0	0.00319	0.145543	0	0	0	0	0	0.083438	0	0.001261	0	0	0	0	0.164672	0	0.003505	0	0	0	0	0	0.002905	0.004109	0	0	0	0	0.000124	0.012828	0	0	0	0	0.000284	0	0	0	0	0	0	0	0	0	0	0	0.173651	0	0
150	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
151	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
152	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
153	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
154	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
155	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
156	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
157	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
158	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
159	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
160	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
161	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
162	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
